codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
MEC0011,,,0,0,,Medidor 120V 1F2H - Masivos Electromecánico. Energía Activa - 60 A_Forma 13A,MEC-1L60_13A,,
APO0977,107,C,0,10,C,Lum. 240V Led 107 W en poste  con red aérea Autocontrolada pot. Cte. C,APD-0PLCL107AC,10.7,
ESS0096,,,0,0,,Est. 6 kV 3F Bandera Doble Retención dos deriv. 2F Centrada Retención,ESS-3BD+2CR+2CR,,
POO0604,,,0,0,,Poste Hormigón armado Circular de 10m carga de rotura 500kg,PO0-0HC10_500,,
SPR0049,,,0,0,,Secc. 34.5kV 3F con secc. trip. oper. con carga con disp. rompearco 100A,SPR-3N100,,
APO0937,210,C,0,10,,Lum. 240 V Led 210 W en poste con red subt Autocontrolada pot. cte. C,APD-0SLCL210AC,21,
APO0701,3.6,C,0,10,,Lum. 240 V Led 3.6 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL3.6PC,0.36,
TRT0005,25,C,0,0,,Transformador 13 kV 1F conv. 25 kVA en poste,TRT-1C25,,
APO1016,30,C,0,10,C,Lum. 240 V Led 30 W en fachada con red preen Autocontrolada pot. cte. C,APD-0FLCL30AC,3,
AOD0170,6.5,C,0,10,C,Lum. 240 V Ornamental Led 6.5 W en piso Hilo Piloto. pot. cte.,AOD-0ILL6.5PC,0.65,
AOD0175,2,C,0,10,C,Proy. 240 V Ornamental Led 2 W en piso hilo piloto pot. cte.,AOD-0IPL2PC,0.2,
APO1059,92,C,0,10,C,Lum. 240 V Led 92 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL92PC,9.2,
APO1058,88,C,0,10,C,Lum. 240 V Led 88 W en poste con red aerea Autocontrolada pot. cte. C,APD-0PLCL88AC,8.8,
APO1054,70,C,0,10,C,Lum. 240 V Led 70 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL70PC,7,
APO1056,77,C,0,10,C,Lum. 240 V Led 77 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL77PC,7.7,
APO1050,40,C,0,10,C,Lum. 240 V Led 40 W en poste con red aérea hilo piloto pot. cte. C,APD-0PLCL40PC,4,
